Dalvik/2.1.0 (Linux; U; Android 5.1; VF-795 Build/LMY47D)
Dalvik/2.1.0 (Linux; U; Android 5.1; XT1032 Build/LPBS23.13-56-2)
Dalvik/2.1.0 (Linux; U; Android 5.1; XT1033 Build/LPBS23.13-56-2)
Dalvik/2.1.0 (Linux; U; Android 5.1; XT1058 Build/LPAS23.12-21.7-1)
Dalvik/2.1.0 (Linux; U; Android 6.0.1; D6603 Build/23.5.A.0.570)
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G920F Build/MMB29K)
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G925F Build/MMB29K)
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G928F Build/MMB29K)
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G930F Build/MMB29K)
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-N910F Build/MMB29M)
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-T555 Build/MMB29M)
Dalvik/2.1.0 (Linux; U; Android 6.0; MotoE2(4G-LTE) Build/MPI24.65-39)
Dalvik/2.1.0 (Linux; U; Android 6.0; MotoG3 Build/MPI24.65-33.1)
Dalvik/2.1.0 (Linux; U; Android 6.0; XT1069 Build/MPB24.65-34)
